WorkID	Image_url
1804929	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554303029i/32542.jpg
1565818	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg
2868431	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631287935i/10441.jpg
3359698	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg
38765	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388179604i/5139.jpg
2561472	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431.jpg
3135896	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551277487i/976.jpg
3464264	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg
1558965	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388367666i/930.jpg
3244642	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg
1030767	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431013639i/4137.jpg
3376836	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658.jpg
2883783	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577.jpg
3300573	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556348375i/11486.jpg
1041558	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989.jpg
137715	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554192326i/5359.jpg
221139	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390018191i/228333.jpg
1015554	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg
59104	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438400434i/60748.jpg
2523229	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438863728i/556602.jpg
2534720	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385172413i/2156.jpg
1552134	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1166254258i/10592.jpg
828773	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1690319656i/242006.jpg
2933712	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391458382i/13023.jpg
3373984	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388272560i/13145.jpg
881425	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390010470i/13148.jpg
2742631	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392344536i/366522.jpg
1172473	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1550721459i/6952.jpg
