WorkID	ISBN	Year
3652511	0316043133	2008.0
6405906	1622456343	2019.0
14302659	0316056863	2011.0
1268631	0679723161	1989.0
44693518	0698411412	2015.0
21975829	0385741278	2018.0
2370171	0671027034	1998.0
21861351	1250030951	2013.0
3324344	0141182504	2006.0
2936175	0553801473	2011.0
4551869	online	2008.0
16441531	1476712042	2012.0
18979356	1476733953	2013.0
1263212	0670037796	2006.0
45424659	081298840X	2016.0
1168289	0099475014	2009.0
21442106	1442426705	2014.0
24501333	0793551617	1998.0
2635502	0571229115	2006.0
21864517	1476775982	2014.0
21459719	1478329459	2013.0
42484814	0062349856	2015.0
2200683	1472203038	2012.0
24878180	1476753164	2022.0
24878172	1476753180	2014.0
13460686	1442421762	2011.0
150226	0399133143	1987.0
11196793	9380658745	2010.0
25126749	1635575583	2020.0
19038910	1476715920	2022.0
27237970	0399162429	2014.0
1537541	0141315490	2006.0
12401364	0441020313	2011.0
18602144	1476715904	2022.0
3358314	150398768X	2015.0
1196035	0312368542	2007.0
2531870	0099448785	2001.0
14103064	0385739184	2012.0
21930423	1455576506	2013.0
23981243	0062294776	2022.0
43940889	1501110365	2016.0
160246	1542099617	2017.0
40181098	0062085581	2014.0
21970768	1455578312	2013.0
17263666	1461057205	2011.0
1257385	0575097469	2012.0
40462273	1451649320	2015.0
55548884	152900246X	
21868234	1476761779	2014.0
21996351	1455578347	2013.0
16501870	1477867147	2013.0
42299347	0062190377	2015.0
23675925	006230240X	2023.0
19148922	1466085665	2012.0
14381730	1611090520	2010.0
41739579	1477825576	2014.0
19192337	1476718202	2013.0
21600625	1301886084	2012.0
18107180	1442421797	2012.0
23965619	0099580470	2013.0
21881449	9789953267	2012.0
16371399	1442488697	2013.0
24071049	1476776040	2014.0
21801712	9770931543	2012.0
1116802	0679420258	1993.0
24075414	1476746559	2013.0
632609	0140449205	2004.0
3596896	1848874278	2012.0
44100599	1775293939	2015.0
23847880	1455578363	2014.0
25390766	1106927028	2012.0
10406860	9770927627	2012.0
21763760	1301716723	2012.0
47426931	1503989712	2016.0
872459	0810995867	2010.0
25420107	0698180879	2014.0
44628209	1503999432	2015.0
3333881	8363471410	2014.0
46247179	1503990338	2016.0
28155746	9775153360	2014.0
14895180	1477874747	2014.0
21965727	0615752179	2013.0
24330801	0147516145	2015.0
17572318	1442485256	2012.0
21400430	1477855025	2013.0
21502991	938326019X	2013.0
17375239	0375866566	2012.0
15678889	1451658907	2012.0
7379975	9953718067	2014.0
21962320	0615741932	2013.0
21547521	1476730946	2013.0
20387074	0345527747	2012.0
42942273	150610715X	2015.0
18962767	0062316095	2015.0
23582083	1476765340	2014.0
2073281	0060013168	2004.0
1665907	0140177361	1992.0
2477403	0515134503	2002.0
1177001	0143124757	2014.0
24065237	0988301326	2013.0
21500353	1477858679	2013.0
45640572	150395241X	2015.0
42278179	110191176X	2015.0
24748164	1940026016	2013.0
16018629	1477860258	2012.0
25423130	1476759588	2014.0
42744285	1477871926	2015.0
21970115	061576567X	2013.0
17499464	0615429505	2011.0
1411520	0099598183	2014.0
6982184	1611092078	2013.0
26343327	1538727374	2016.0
27411330	0062278231	2015.0
21763059	1301501956	2012.0
19040270	098830130X	2012.0
1128436	0385233132	1988.0
2543266	1612188400	2012.0
42938354	1477872078	2015.0
17258588	1617980218	2012.0
43072491	1501086138	2014.0
22617247	0805099239	2014.0
15035866	1743532806	2014.0
21450735	0062267140	2012.0
17760917	1476718970	2013.0
27054644	1563893428	1997.0
6575836	1846054745	2009.0
18323697	1442488646	2013.0
17276473	1455599182	2013.0
26379921	1497312256	2011.0
4684374	1421529297	2009.0
2775877	6035010172	
13965275	0307950697	2010.0
11141306	0061856436	2010.0
24333050	0989104400	2013.0
19212100	0615680046	2012.0
18634320	1465939423	2011.0
26616838	0765378574	2016.0
6815455	9992194510	2012.0
29915182	1477872582	2014.0
5835554	1870582098	2000.0
6576853	1451673000	2011.0
42090179	1510107037	2019.0
21424080	006226768X	2023.0
3874446	1421500167	2006.0
2781124	0446354732	1995.0
19251641	147786718X	2013.0
17766175	0748116990	2014.0
21573427	0062267159	2012.0
21863888	1480276855	2012.0
1031900	037581471X	2003.0
24897280	0989450201	2013.0
3124176	0316606847	2002.0
25040765	0989450236	2013.0
23876664	1476765367	2014.0
12932079	1605049557	2010.0
18598990	1442485280	2012.0
1142883	0375829067	2004.0
17912072	1466276983	2011.0
21491232	1442488603	2013.0
14293500	1423121384	2012.0
27416593	1477870016	2014.0
7112263	1846554004	2011.0
1952109	0007120702	2001.0
26571674	614432187X	2014.0
24948167	1476751404	2013.0
19250719	1444778552	2015.0
